court_id,site_id,osm_ref,sport,role,parent_id,lat,lon,length_m,width_m,angle_deg,n_in_feature,n_children,n_overlay,subdivided,guessed,oversized,derived,ring
oh_4013351_-8298019:ffdd0bb,oh_4013351_-8298019,way/557559641,tennis,court,,40.1332955,-82.9805157,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.9804173, 40.1331274], [-82.9803995, 40.1334567], [-82.980614, 40.1334636], [-82.9806319, 40.1331342]]"
oh_4013351_-8298019:fda1e8c,oh_4013351_-8298019,way/557559641,tennis,court,,40.1336221,-82.9799937,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.9798954, 40.133454], [-82.9798775, 40.1337834], [-82.9800921, 40.1337902], [-82.9801099, 40.1334609]]"
oh_4013351_-8298019:fd6de63,oh_4013351_-8298019,way/557559641,tennis,court,,40.1336302,-82.9802454,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.9801471, 40.1334621], [-82.9801292, 40.1337914], [-82.9803437, 40.1337983], [-82.9803616, 40.1334689]]"
oh_4013351_-8298019:f862447,oh_4013351_-8298019,way/557559641,tennis,court,,40.1336382,-82.9804971,36.6,18.3,86.3,6,0,0,True,False,False,,"[[-82.9803987, 40.1334701], [-82.9803809, 40.1337995], [-82.9805954, 40.1338063], [-82.9806133, 40.133477]]"
oh_4013375_-8317393:f54f047,oh_4013375_-8317393,way/948500575,tennis,court,,40.1337243,-83.1743011,23.7,11.0,94.1,1,0,0,False,False,False,,"[[-83.1742238, 40.1336226], [-83.1742503, 40.1338354], [-83.1743783, 40.133826], [-83.1743518, 40.1336132]]"
oh_4013375_-8317393:fa3e3bd,oh_4013375_-8317393,way/948500576,tennis,court,,40.1337646,-83.1737469,23.8,11.1,94.0,1,0,0,False,False,False,,"[[-83.1736693, 40.1336627], [-83.1736953, 40.1338758], [-83.1738244, 40.1338665], [-83.1737984, 40.1336534]]"
oh_4013375_-8317393:f7092c3,oh_4013375_-8317393,way/948500577,tennis,court,,40.1337805,-83.1735323,23.8,10.9,94.0,1,0,0,False,False,False,,"[[-83.1734554, 40.1336786], [-83.1734817, 40.1338916], [-83.1736092, 40.1338823], [-83.1735829, 40.1336693]]"
oh_4013375_-8317393:f31a1ee,oh_4013375_-8317393,way/1486911425,tennis,court,,40.1337366,-83.1741312,23.7,11.0,94.0,1,0,0,False,False,False,,"[[-83.1740539, 40.1336349], [-83.1740803, 40.1338478], [-83.1742084, 40.1338384], [-83.174182, 40.1336255]]"
oh_4013375_-8317393:f1eed32,oh_4013375_-8317393,way/1486911426,tennis,court,,40.1337528,-83.1739168,23.7,11.0,94.0,1,0,0,False,False,False,,"[[-83.1738396, 40.1336511], [-83.173866, 40.1338639], [-83.1739941, 40.1338545], [-83.1739677, 40.1336417]]"
oh_4013389_-8300415:f30ed19,oh_4013389_-8300415,way/562399122,tennis,court,,40.1338886,-83.0041458,34.5,16.4,176.9,1,0,0,False,False,False,,"[[-83.0039404, 40.1339577], [-83.0043452, 40.1339674], [-83.0043512, 40.1338195], [-83.0039464, 40.1338098]]"
