site_id,lat,lon,n_features,sports,has_tennis,has_pickleball,has_padel,extent_m,oversized,any_indoor,osm_refs,state
oh_4010146_-8295462,40.10146,-82.95462,1,pickleball,False,True,False,28.8,False,False,way/1409257710,OH
oh_4010461_-8298657,40.104607,-82.986574,2,tennis,True,False,False,28.6,False,False,way/1487030725;way/1487030726,OH
oh_4010742_-8302291,40.107424,-83.022914,2,tennis,True,False,False,27.3,False,False,way/1432348487;way/1432348488,OH
oh_4011438_-8300446,40.114377,-83.004464,1,tennis,True,False,False,14.9,False,False,way/547187110,OH
oh_4011550_-8298937,40.115496,-82.989372,1,tennis,True,False,False,37.4,False,False,way/545594128,OH
oh_4011963_-8302097,40.11963,-83.020974,2,tennis,True,False,False,25.7,False,False,way/1435165742;way/1435165743,OH
oh_4012471_-8299859,40.124707,-82.998591,1,tennis,True,False,False,39.4,False,False,way/547194499,OH
oh_4012567_-8302575,40.125668,-83.02575,1,tennis,True,False,False,32.5,False,False,way/554194412,OH
oh_4012752_-8300239,40.127516,-83.002391,2,tennis,True,False,False,28.8,False,False,way/1435166273;way/1435166274,OH
oh_4012939_-8296061,40.129391,-82.96061,2,tennis,True,False,False,27.1,False,False,way/435275482;way/1124512699,OH
oh_4012997_-8301989,40.129973,-83.019892,2,tennis,True,False,False,28.3,False,False,way/1435165876;way/1435165877,OH
oh_4013351_-8298019,40.13351,-82.98019,1,tennis,True,False,False,80.1,False,False,way/557559641,OH
oh_4013389_-8300415,40.133889,-83.004146,1,tennis,True,False,False,35.3,False,False,way/562399122,OH
oh_4013726_-8297014,40.137262,-82.970141,1,tennis,True,False,False,22.6,False,False,way/561682696,OH
oh_4017083_-8298267,40.170828,-82.982669,8,tennis,True,False,False,138.3,False,False,way/1054294038;way/1054294039;way/1054294040;way/1054294041;way/1054294042;way/1054294043;way/1054294044;way/1054294045,OH
oh_4017300_-8302900,40.173001,-83.029003,1,tennis,True,False,False,40.5,False,False,way/554535745,OH
oh_4018893_-8301040,40.188935,-83.010403,6,tennis,True,False,False,166.2,False,False,way/1391565469;way/1391565471;way/1391565472;way/1391565473;way/1391565474;way/1391565476,OH
oh_4019031_-8301878,40.190309,-83.018777,1,pickleball,False,True,False,19.1,False,False,way/1556459819,OH
oh_4020139_-8302240,40.201388,-83.022401,8,tennis,True,False,False,104.7,False,False,way/615510481;way/615510482;way/615510483;way/615510484;way/615510485;way/615510486;way/615510488;way/615510490,OH
oh_4020322_-8301490,40.20322,-83.0149,1,pickleball,False,True,False,47.1,False,False,way/1413936869,OH
oh_4023139_-8298674,40.231389,-82.98674,3,pickleball;tennis,True,True,False,37.9,False,False,way/1453373844;way/1453373845;way/1453373846,OH
oh_4025227_-8300360,40.252275,-83.003603,8,tennis,True,False,False,72.8,False,False,way/1163439206;way/1163439207;way/1163439208;way/1163439209;way/1163439210;way/1163439211;way/1163439212;way/1163439213,OH
oh_4056686_-8299393,40.566861,-82.993934,2,pickleball;tennis,True,True,False,24.9,False,False,way/1426754018;way/1426754019,OH
oh_4058630_-8301277,40.586302,-83.012769,5,tennis,True,False,False,71.0,False,False,way/1432683890;way/1432683891;way/1432683892;way/1432683893;way/1432683894,OH
oh_4080498_-8298908,40.804976,-82.989083,8,pickleball;tennis,True,True,False,72.4,False,False,way/1486833961;way/1486833962;way/1486833963;way/1486833964;way/1486833965;way/1486833966;way/1486833967;way/1486833968,OH
oh_4081501_-8298716,40.815012,-82.987164,7,tennis,True,False,False,76.1,False,False,way/544758699;way/544758700;way/544758701;way/544758702;way/544758703;way/544758704;way/1199660638,OH
oh_4125358_-8304612,41.253584,-83.046124,2,tennis,True,False,False,27.0,False,False,way/325590433;way/325590434,OH
oh_4128950_-8298671,41.2895,-82.986707,6,tennis,True,False,False,72.2,False,False,way/263348064;way/263348065;way/263348066;way/263348067;way/263348068;way/263348069,OH
oh_3872376_-8284629,38.723762,-82.84629,3,tennis,True,False,False,43.9,False,False,way/1180132713;way/1180132714;way/1180132715,OH
